Li2O,SiO2,Al2O3,ZnO,MgO,Na2O,K2O,TiO2,ZrO2,P2O5,As2O3,B2O3,BaO,CaO,SrO,SnO2,Fe2O3,MnO2,CoO,CeO2,V2O5,Sb2O3,Nd2O3,Cr2O3,MoO3,F,La2O3,Ta2O5,Cl,LD,β-spodumene,β-quartz s.s,LM,Keatite,Petalite,LiAlSi3O8,LiAlSi2O6,KMK,Cristobalite,Li4SiO4,Mullite,Tridymite
3.95705276088226,55.743298889074,25.9552172443192,0.0,0.0,0.410397887151013,0.693028673702338,2.4091538390275,0.0,8.04107788631031,0.727784581114222,0.0,0.0,2.06298823841921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.89731006787084,53.3941283202885,26.1592827276505,0.0,0.0,0.0888355587057239,0.810077715594602,2.4039432026612,0.0,9.35848624812253,0.425351860092881,0.0,2.41763713604619,1.04494716296709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.03901030958401,53.5084421792997,27.7858661328514,0.0,0.0,0.403217279937949,1.49798651516488,2.30926985936785,0.0,8.10559040870183,0.572040604233762,0.0,0.886743896615498,0.891832814243134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.04116870026825,61.3114003186962,26.2624906123182,0.0,0.0,0.423831038914742,1.35985451373263,2.48801031016211,0.0,0.0,0.601285152340501,0.0,2.44670234843528,1.06525700513216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.87593965278344,61.5356190453416,25.1446471716868,0.0,0.0,0.607652351634579,2.34430636900478,2.46952687663002,0.0,3.42549032916834,0.596818203750409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.98494611280453,56.4458876682103,27.0455372203655,0.179950790526546,0.148469872441906,0.548009888461916,1.1798985497625,2.41273195101865,0.0,5.75215758408055,0.583092398290953,0.0,1.01686020924158,0.702457754795116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.80090741232638,56.2245847050346,26.9833487500594,0.535635284215536,0.0,0.81559361728928,0.413181778391146,2.45227219192865,0.0,5.08461799442496,0.57853753901018,0.0,2.57834331193374,0.532977415386147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.03569412491999,56.7616964444603,26.7143578698728,0.240334307429453,0.178460808517431,0.503179696671758,1.18186519199684,2.35780826022385,0.0,5.76174521858159,0.584064290439844,0.0,1.01855510092045,0.662238685965759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.68025089522162,62.1725645601218,23.953563185774,0.0,0.0,0.376977708711143,1.43233391725873,2.36814538026861,0.0,3.34540201425051,0.752083268372508,0.0,0.0,1.91867907002109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.17568366133308,57.8784837552733,25.678231993734,0.0,0.0,0.648451188190115,0.351971789263051,0.0,0.0,7.10697837796899,0.591397501276505,0.0,2.52106202310739,1.04773970985349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
